GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2035,1035;1148;1364;1450;1556,
2036,3854;4170;4252,7101;9349;9756;9883;10272;10753;11306
2037,333;391,
2038,422,
2039,,2058
2040,,2049
2041,,8706;12411;18924
2042,,14151
2043,,7697;11458;12409;12552;12678;12859;14172;18129;19748
2044,3267,
2045,4629;4807,
2046,1382;1495;1571;1664;1786;2290-3;2391-3,13360;15087;15340;16786;17804;17807;18072;18472;19193
2047,1195;1393;1492;1581;1675;1782;1995;2098;2191;2284;2385;2477;2556;2616;2667;2729;2789;2855;2955;3070;3130,
2048,3339;3407,
2049,3930,
2050,814;935,
2051,,3828
2052,356;622;649;1075;1199;1292;1383;1496;1569;1662;1784;2107;2214;2290-1;2391-1,
2053,,4509;9491
2054,,13353;18471;18502
2055,,7902
2056,3487,
2057,1775,
2058,,11561;12966;12967
2059,1636;1885;1957;2454,
2060,1690;1798;1865;1967;2093;2172;2362,
2061,3839,10674;11737;11749
2062,,9042
2063,,13155
2064,3924,
2065,,5317;6469
2066,,16089;16549
2067,,11741
2068,,2055
2069,171;364;431;502,
2070,,11570
2071,,20180
2072,,16090;16151;16155
2073,608;651;728,
2074,,3417
2075,3893;3962;4069,8416;8882;10314;10316;10375;10658
2076,4372,
2077,,9786
2078,2831,
2079,2453,
2080,,19307
2081,,11923;12432;13858;14128;14188;14541;14579;14861;14957;15032;15521;15573;16249;16260;16402;16527;16946;17068;17183;17189;17701;17893;18120;18415;18560;18595;18701;18753;18803;19191;19425
2082,,837;1320
2083,,3489;3493;3496;3571;3573;3856;4572;4585;4598;4815;6172;6754;7220
2084,3364;3585;3911;3963,
2085,3128;3188;3223;3281;3744;3866;3968;4089,7888;11568;11569;11633;12228;12716
2086,4646;4769;4966;5026,
2087,,5054
2088,,15485
2089,,15489
2090,,15231;17798
2091,,1958;9025;9043
2092,,3456
2093,,3466
2094,,4115;5753
2095,,3459;5752
2096,3372,
2097,,1319
2098,357;405;487;568;733;832;882,
2099,,18256
2100,4071,
2101,567;706;811;933;1018;1162;1309;1372;1452;1562;1686,9776;11322;12018;14159;14906;15034
2102,2287;2386;2487;3024;3530,
2103,5027,
2104,5058,
2105,,19485
2106,,7687
2107,,7689
2108,,7680;7690
2109,,15943
2110,3266,12541;12770
2111,4174;4197;4371,
2112,172,
2113,1467;1595;1681;1774;1876;1985;2083;2182;2311;2411,
2114,,16471;19610
2115,,2193;2494
2116,,2529
2117,,2578
2118,,15234
2119,,20042
2120,24;84;146,
2121,400,
2122,321,
2123,335,
2124,1042;1179;1285;1469;1594;1683;1773;1875;1987;2081;2180;2312;2410,
2125,2597,15944;19834;20262;20267;20269;20272
2126,4301;4469;4497,
2127,4157,
2128,,13246
2129,2596,
2130,4021;4068;4101,
2131,2289-4;2390-5;2469-5,
2132,612;655;731-2;1068;1792-6,
2133,,20078
2134,,11394
2135,4373,
2136,,1194
2137,,11966;12000;13604;13760;14003;14334;14863;16503
2138,874,
2139,,20196
2140,4475;4607,
2141,299;425;486;556,
