GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2776,4096;4169;4416,
2777,1462;1632;1886;2455;2999;3406;3461;3520,
2778,,2109
2779,1111,
2780,3527;3532,7886;7945;8550;8558;10860;13087
2781,1291;1350;1479;1600;1615,
2782,,20058
2783,884;1024;1132;1266,
2784,,13637
2785,,1170;1173;2337;2340
2786,3338;3402,
2787,,3410;4044
2788,,538;762;806;807;1093
2789,3792,
2790,,12757
2791,611;654;730;1066;1666;1792-5,
2792,,9242
2793,,16346
2794,,14476
2795,,15620
2796,,19696;19858
2797,1771;1872;1984;2078;2177;2314;2408,
2798,,14573
2799,4168;4182;4246;4292,5540;5813;6042;6158;6419;9846
2800,,1345;1350;2250;2418;2433;2486;2545;2556
2801,,9603;12072
2802,889;1138;1314;1376;1458;1565,
2803,3429,
2804,1112,
2805,3873,
2806,830;913;1028;1141;1274,
2807,,2238;2295;2317
2808,623;715;1074;1196;1293;1384;1497;1573;1668;1789;2001;2099;2210;2292;2393;2471,
2809,,5005
2810,,149;270
2811,,12602;12613;12615;12616;13236;13704;13706;13708;13709;19695
2812,,11422
2813,,2581
2814,,1177;1188;2265;19281
2815,,1328;2203
2816,,5480
2817,1312,
2818,,20244
2819,404;493;581;740;843;883;1158;1303;1369;1567;1701;1835,
2820,1560;1696,
2821,1860;1965;2086;2297;2359,
2822,,8679
2823,1113,
2824,745;846,
2825,891,
2826,,333;591;1566;1708;1961;1985;2402;2461;3077;3102;4898;4910;4920;5107
2827,,261;702
2828,4179;4248,
2829,,9803
2830,4020;4080;4160;4243;4265;4312;4355,6316;6660;6668;6671;6936;6954;7280;7429;7969;7971;7972;8286;8299;8339;9237;9647;9648;9706;10002;10109;10265;10268;10395;10600;10692;10695;11226
2831,3413,
2832,4455,
2833,56;98;144;209;229;379;513;639,
2834,,13646;14075;19224;19363;19487;19496;19497
2835,,151;154;157;162;295;515;517;518;519;524;685;688;691;817;819;820;955;957;964;1018;1019;1110;1117;1119;1120;1121;1122;1256;1259;1262;1369;1719;1932;5304;6223;9255
2836,,441;446;629;631;695
2837,,17518
2838,,9227;10048
2839,,895;913
2840,351;401;505-3;571,
2841,,212;1080;3028;3306;6176;8971;9319
2842,,15839
2843,3427,
2844,3222;3283;3367;3486,
2845,1652;1757;1848;1978;2072;2152;2276;2397,
2846,4413,
2847,,1801
2848,4494;4530;4701;4720;4768;4796,
2849,,2345
2850,,1843
2851,,1327
2852,818;938;1021;1168,15382
2853,,18537;18543
2854,1302,
2855,3403,
2856,419;496;887;1034;1139;1279,
2857,344,
